doc_type,meeting_date,avail_date,release_estimated,n_chars,lex_abg_hawk,lex_abg_dove,lex_abg_net,lex_abg_fomc_hawk,lex_abg_fomc_dove,lex_abg_fomc_net,emb_score,emb_coverage
statement,2009-09-23,2009-09-23,False,2758,0,1,-0.5,1,3,-0.4,-0.03216664999821594,1.0
minutes,2009-09-23,2009-10-14,False,47328,7,6,0.07142857142857142,17,22,-0.125,-0.029550456110516415,1.0
statement,2009-11-04,2009-11-04,False,3046,0,1,-0.5,1,4,-0.5,-0.028731489909137823,1.0
minutes,2009-11-04,2009-11-24,False,91465,4,8,-0.3076923076923077,26,32,-0.1016949152542373,-0.019771568300366648,1.0
statement,2009-12-16,2009-12-16,False,3745,0,1,-0.5,1,3,-0.4,-0.038494608562960074,1.0
minutes,2009-12-16,2010-01-06,False,50875,7,3,0.36363636363636365,22,21,0.022727272727272728,-0.022023929713795454,1.0
statement,2010-01-27,2010-01-27,False,3588,0,1,-0.5,0,2,-0.6666666666666666,-0.033399361750733554,1.0
minutes,2010-01-27,2010-02-17,False,68426,5,1,0.5714285714285714,15,17,-0.06060606060606061,-0.016626276188193574,1.0
statement,2010-03-16,2010-03-16,False,2963,0,2,-0.6666666666666666,0,3,-0.75,-0.028794634546494172,1.0
minutes,2010-03-16,2010-04-06,False,42113,2,4,-0.2857142857142857,7,14,-0.3181818181818182,-0.01742617753163439,1.0
statement,2010-04-28,2010-04-28,False,2705,0,2,-0.6666666666666666,0,3,-0.75,-0.03319224929504848,1.0
statement,2010-05-09,2010-05-09,False,1757,0,0,0.0,0,0,0.0,-0.0717695513773266,0.9411764705882353
minutes,2010-04-28,2010-05-19,False,44687,6,10,-0.23529411764705882,13,22,-0.25,-0.022943572093987966,1.0
statement,2010-06-23,2010-06-23,False,2426,0,3,-0.75,0,4,-0.8,-0.025475045795127303,1.0
minutes,2010-06-23,2010-07-14,False,51006,1,14,-0.8125,5,36,-0.7380952380952381,-0.02159979443028449,1.0
statement,2010-08-10,2010-08-10,False,3042,0,3,-0.75,0,5,-0.8333333333333334,-0.03785105116311404,1.0
minutes,2010-08-10,2010-08-31,False,42102,6,8,-0.13333333333333333,10,25,-0.4166666666666667,-0.014110738985997566,1.0
statement,2010-09-21,2010-09-21,False,2847,0,2,-0.6666666666666666,0,4,-0.8,-0.04199515660790986,1.0
minutes,2010-09-21,2010-10-12,False,38156,5,4,0.1,11,19,-0.25806451612903225,-0.023170578637116253,1.0
statement,2010-11-03,2010-11-03,False,3278,0,4,-0.8,0,6,-0.8571428571428571,-0.0506138759071717,1.0
minutes,2010-11-03,2010-11-23,False,46214,8,18,-0.37037037037037035,25,28,-0.05555555555555555,-0.020684812209565893,1.0
statement,2010-12-14,2010-12-14,False,3260,0,3,-0.75,0,5,-0.8333333333333334,-0.05433521222112257,1.0
minutes,2010-12-14,2011-01-04,False,42784,2,9,-0.5833333333333334,11,19,-0.25806451612903225,-0.021281171715786317,1.0
statement,2011-01-26,2011-01-26,False,2920,0,3,-0.75,1,5,-0.5714285714285714,-0.03995581162415557,1.0
minutes,2011-01-26,2011-02-16,False,66735,18,9,0.32142857142857145,24,23,0.020833333333333332,-0.016084120367962872,1.0
statement,2011-03-15,2011-03-15,False,3064,0,0,0.0,1,3,-0.4,-0.043507679797541686,1.0
minutes,2011-03-15,2011-04-05,False,43535,11,1,0.7692307692307693,25,15,0.24390243902439024,-0.02440533906582298,0.9964285714285714
